key,screen,status,placeholders,source,translation
%@ from now,Panel,translated,%@,%@ from now,Dans %@
%@ has watched %lld agent runs on my Mac and kept it awake for %@ of them.,Statistics,translated,%@ %lld %@,%@ watched %lld agent runs on my Mac and kept it awake for %@.,%@ a suivi %lld exécutions d'agents sur mon Mac et l'a gardé éveillé pendant %@.
"%@ held, %@ away",Statistics,translated,%@ %@,"%@ awake, %@ away","%@ éveillé, %@ absent"
"%@ kept my Mac awake for %@ while I was away from it, and saved %lld agent runs that would otherwise have died when the Mac went to sleep.",Statistics,translated,%@ %@ %lld,%@ kept my Mac awake for %@ while I was away and saved %lld agent runs from being interrupted by sleep.,%@ a gardé mon Mac éveillé pendant %@ en mon absence et a évité que la veille n'interrompe %lld exécutions d'agent.
"%@ kept my Mac awake for %@ while I was away from it, and saved 1 agent run that would otherwise have died when the Mac went to sleep.",Statistics,translated,%@ %@,%@ kept my Mac awake for %@ while I was away and saved 1 agent run from being interrupted by sleep.,%@ a gardé mon Mac éveillé pendant %@ en mon absence et a évité que la veille n'interrompe 1 exécution d'agent.
%@ panel,Panel,translated,%@,%@ panel,panneau %@
%@ · %@,"App, Panel",translated,%@ %@,%@ · %@,%@ · %@
%@ · %lld agents,Panel,translated,%@ %lld,%@ · %lld agents,%@ · %lld agents
%@ · 1 agent,Panel,translated,%@,%@ · 1 agent,%@ · 1 agent
"%@, %@",Panel,translated,%@ %@,"%@, %@","%@, %@"
"%@, %@, for %@",Panel,translated,%@ %@ %@,"%@, %@, for %@","%@, %@, depuis %@"
%lld hours,Panel,translated,%lld,%lld hours,%lld heures
%lld hours %lld minutes,Panel,translated,%lld %lld,%lld hours %lld minutes,%lld heures %lld minutes
%lld minutes,Panel,translated,%lld,%lld minutes,%lld minutes
%lld more,Panel,translated,%lld,%lld more,%lld de plus
%lld seconds,Panel,translated,%lld,%lld seconds,%lld secondes
"%lld sessions in total, including subagents",Panel,translated,%lld,"%lld sessions in total, including subagents","%lld sessions au total, sous-agents compris"
%lld subagents,Panel,translated,%lld,%lld subagents,%lld sous-agents
%lldd %@h,Panel,needs_review,%lld %@,%lldd %@h,%lld j %@ h
%lldh %@m,Panel,needs_review,%lld %@,%lldh %@m,%lld h %@ min
%lldm,Panel,needs_review,%lld,%lldm,%lld min
%llds,"App, Detection, Panel, Settings, Settings: Notifications, Settings: Providers",needs_review,%lld,%llds,%lld s
1 hour,Settings,needs_review,,1 hour,1 heure
1 min,"Detection, Settings",needs_review,,1 min,1 min
10 hours,Settings,needs_review,,10 hours,10 heures
10 min,Settings,needs_review,,10 min,10 min
12 hours,"Settings, Statistics",needs_review,,12 hours,12 heures
14 hours,Settings,translated,,14 hours,14 heures
15 min,"Panel, Settings",translated,,15 min,15 min
2 hours,"Settings, Statistics",needs_review,,2 hours,2 heures
3 hours,Settings,translated,,3 hours,3 heures
3 min,Settings,needs_review,,3 min,3 min
30 min,Settings,needs_review,,30 min,30 min
30 sec,Settings,needs_review,,30 sec,30 s
4 hours,Settings,needs_review,,4 hours,4 heures
45 min,Settings,translated,,45 min,45 min
5 hours,Settings,translated,,5 hours,5 heures
5 min,"Panel, Settings, Settings: Notifications",needs_review,,5 min,5 min
6 hours,Settings,translated,,6 hours,6 heures
7 hours,Settings,translated,,7 hours,7 heures
8 hours,Settings,needs_review,,8 hours,8 heures
A rare overnight crash is fixed,App,translated,,A rare overnight crash is fixed,Un plantage nocturne rare est corrigé
"A session stopped responding without finishing, usually because the CLI needs input or was closed.",Settings: Notifications,translated,,"A session stopped responding without finishing, usually because the CLI needs input or was closed.","Une session a cessé de répondre sans terminer, généralement parce que la CLI attend une saisie ou a été fermée."
A short note when you change mode by hand. Turning off interface sounds in System Settings silences these too.,Settings: General,translated,,Plays a short sound when you change modes manually. Respects your system sound settings.,Joue un son bref quand vous changez de mode manuellement. Respecte les réglages sonores du système.
"A timestamped backup is made first. Everything already in the file is preserved, and ""Remove"" puts it back exactly.",Settings: Providers,translated,,"Belay makes a timestamped backup first. ""Remove"" restores the original file.",Belay crée d'abord une sauvegarde horodatée. « Retirer » restaure le fichier d'origine.
About,"App, Menu bar, Settings, Settings: About, Settings: General, Settings: Providers, Statistics, Welcome",translated,,About,À propos
About %@,Menu bar,translated,%@,About %@,À propos de %@
Active sessions,Panel,translated,,Active sessions,Sessions actives
Add Folder…,Settings,translated,,Add Folder…,Ajouter un dossier…
"Add a folder to watch, or pick a preset, to cover another agent.",Settings: Providers,translated,,Add a folder or choose a preset to watch another agent.,Ajoutez un dossier ou choisissez un préréglage pour surveiller un autre agent.
Add a tool to watch,Settings: Providers,translated,,Add a tool to watch,Ajouter un outil
Add a tool…,Settings: Providers,translated,,Add a tool…,Ajouter un outil…
Add to Claude Code,Settings: Providers,translated,,Add to Claude Code,Ajouter à Claude Code
Add to Cline,Settings: Providers,translated,,Add to Cline,Ajouter à Cline
Add to Codex,Settings: Providers,translated,,Add to Codex,Ajouter à Codex
Agent needs you,Settings: Notifications,translated,,Agent needs you,L'agent a besoin de vous
